[13-Jun-2024 21:58:09 UTC] Failed to assign role: premium_plan_member
[13-Jun-2024 22:00:10 UTC] Failed to assign role: premium_plan_member
[13-Jun-2024 22:02:19 UTC] User ID: 10
[13-Jun-2024 22:02:19 UTC] Selected Plan ID: 24
[13-Jun-2024 22:02:19 UTC] Assigned Role: premium_plan_member
[13-Jun-2024 22:02:19 UTC] Assigned Roles: 
[13-Jun-2024 22:03:35 UTC] User ID: 11
[13-Jun-2024 22:03:35 UTC] Selected Plan ID: 24
[13-Jun-2024 22:03:35 UTC] Assigned Role: premium_plan_member
[13-Jun-2024 22:03:35 UTC] Assigned Roles: 
[13-Jun-2024 22:08:07 UTC] User ID: 12
[13-Jun-2024 22:08:07 UTC] Selected Plan ID: 25
[13-Jun-2024 22:08:07 UTC] Assigned Role: vip_plan_member
[13-Jun-2024 22:08:07 UTC] Assigned Roles: 
[13-Jun-2024 22:10:31 UTC] User ID: 13
[13-Jun-2024 22:10:31 UTC] Selected Plan ID: 25
[13-Jun-2024 22:10:31 UTC] Assigned Role: vip_plan_member
[13-Jun-2024 22:10:31 UTC] Assigned Roles: 
[13-Jun-2024 22:10:31 UTC] Failed to assign role: vip_plan_member
[13-Jun-2024 22:16:10 UTC] User ID: 14
[13-Jun-2024 22:16:10 UTC] Selected Plan ID: 25
[13-Jun-2024 22:16:10 UTC] Assigned Role: vip_member_member
[13-Jun-2024 22:16:10 UTC] Assigned Roles: 
[13-Jun-2024 22:16:10 UTC] Failed to assign role: vip_member_member
[13-Jun-2024 22:20:06 UTC] User ID: 15
[13-Jun-2024 22:20:06 UTC] Selected Plan ID: 25
[13-Jun-2024 22:20:06 UTC] Assigned Role: vip_member
[13-Jun-2024 22:20:06 UTC] Assigned Roles: vip_member
[13-Jun-2024 22:20:06 UTC] Role assigned successfully: vip_member
[13-Jun-2024 23:40:10 UTC] User ID: 16
[13-Jun-2024 23:40:10 UTC] Selected Plan ID: 6
[13-Jun-2024 23:40:10 UTC] Assigned Role: basic_member
[13-Jun-2024 23:40:10 UTC] Assigned Roles: basic_member
[13-Jun-2024 23:40:10 UTC] Role assigned successfully: basic_member
[14-Jun-2024 14:58:31 UTC] PHP Fatal error:  Cannot redeclare wpmm_payment_form() (previously declared in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/shortcodes.php:106) in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/payment-integration.php on line 4
[14-Jun-2024 14:58:33 UTC] PHP Fatal error:  Cannot redeclare wpmm_payment_form() (previously declared in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/shortcodes.php:106) in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/payment-integration.php on line 4
[14-Jun-2024 14:58:33 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/ejuchheim/Local Sites/membership/app/public/wp-includes/functions.php on line 6078
[14-Jun-2024 14:58:33 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/ejuchheim/Local Sites/membership/app/public/wp-includes/functions.php on line 6078
[14-Jun-2024 14:58:35 UTC] PHP Fatal error:  Cannot redeclare wpmm_payment_form() (previously declared in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/shortcodes.php:106) in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/payment-integration.php on line 4
[14-Jun-2024 14:58:35 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/ejuchheim/Local Sites/membership/app/public/wp-includes/functions.php on line 6078
[14-Jun-2024 14:58:35 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/ejuchheim/Local Sites/membership/app/public/wp-includes/functions.php on line 6078
[14-Jun-2024 14:58:37 UTC] PHP Fatal error:  Cannot redeclare wpmm_payment_form() (previously declared in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/shortcodes.php:106) in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/payment-integration.php on line 4
[14-Jun-2024 14:58:37 UTC] PHP Notice:  Function is_embed was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/ejuchheim/Local Sites/membership/app/public/wp-includes/functions.php on line 6078
[14-Jun-2024 14:58:37 UTC] PHP Notice:  Function is_search was called incorrectly. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/ejuchheim/Local Sites/membership/app/public/wp-includes/functions.php on line 6078
[14-Jun-2024 14:58:37 UTC] PHP Fatal error:  Cannot redeclare wpmm_payment_form() (previously declared in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/shortcodes.php:106) in /Users/ejuchheim/Local Sites/membership/app/public/wp-content/plugins/wp-membership-manager/includes/payment-integration.php on line 4
